"Nome Fantasia ","Responsável pelas compras","Telefone ","Rua","Bairro","Cidade","Atividade",""
"Tuttiboni","Joao Vitor ","28999002022","Rua Jose Nunes Sobrinho, 326 ","Alto Uniao","Cachoeiro de Itapemirim","Mercearia",""
"Padaria Unipão","Joyce","28999920087","Rua José Nunes Sobrinho,  308 ","Alto Uniao","Cachoeiro de Itapemirim","Padaria",""
"Marmitex da Regina ","Regina","28999520691","Rua José Nunes Sobrinho, 275","Alto Uniao","Cachoeiro de Itapemirim","Restaurante",""
"Supermercado Imperial LTDA","Douglas","28999199911","Rua José Nunes Sabino, 266","Alto Uniao","Cachoeiro de Itapemirim","Supermercado",""
"Bar do Noturno","Laedson Silva","28999538978","Rua Etelvina dos Santos, 1 ","Alto Uniao","Cachoeiro de Itapemirim","Restaurante",""
"Supermercado União ","Jaiziele","28998850342","Rua José Nunes Sobrinho, 223 ","Alto Uniao","Cachoeiro de Itapemirim","Padaria",""
"Padaria Mix","Sônia Oliveira ","28999845210","Rua José Nunes Sobrinho,  94","Alto Uniao","Cachoeiro de Itapemirim","Padaria",""
"Lanchonete Dudu","Ligar estava fechado ","28999827925","Rua José Nunes Sobrinho, 79","Alto Uniao","Cachoeiro de Itapemirim","Restaurante",""
"Bar do Evaristo ","Evaristo Dias","28992565623","Rua José Nunes Sobrinho,  202","Alto Uniao","Cachoeiro de Itapemirim","Restaurante",""
"Supermercado Clemente ","Julio ","28999670579","Rua José Nunes Sobrinho, 76","Alto Uniao","Cachoeiro de Itapemirim","Supermercado",""
"Bar Encontro dos Amigos ","Claudia ","28999627142","Rua José Nunes Sobrinho,  21 ","Alto Uniao","Cachoeiro de Itapemirim","Restaurante",""
"Lanchonete Diferenciada ","Rodrigo ","28999930280","Rua José Nunes Sobrinho,  1 , Alto Uniao ","Alto Uniao","Cachoeiro de Itapemirim","Restaurante",""
"Lanchonete Restaurante Castanheira ","Edineia ","28999740794","Rodovia Engenheiro Fabiano Vivaqua,  2115 , Baixo União ","Baixo União","Cachoeiro de Itapemirim","Restaurante",""
"Uniposto Derivados de Petróleo ","Junior ","28999690422","Rodovia Engenheiro Fabiano Vivaqua, 2096","Baixo União","Cachoeiro de Itapemirim"," Conveniência",""
"Multivix Cachoeiro ","Leticia Eugenio ","28999384773","Rodovia Engenheiro Fabiano Vivaqua,  2531 , Monte Belo ","Monte Belo","Cachoeiro de Itapemirim","Faculdade",""
"Supermercado Nosso Lar","Alessandro ","28999990274","Rua Júlio César Santos,  216 , Monte Belo ","Monte Belo","Cachoeiro de Itapemirim","Supermercado",""
"Posto Avenida ","Rondineli ","28999267650","Av. Francisco Lacerda Aguiar,  558 , Paraiso ","Paraiso","Cachoeiro de Itapemirim"," Conveniência",""
"Lanchonete Souza ","Joao Souza ","28999185466","Av. Francisco Lacerda Aguiar,  558 , Paraiso ","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Espetinho da Prosperidade ","Abraão ","28999057700","Rua Euclides da Cunha, 28, Paraiso ","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Bar Restaurante Hora Extra ","Iolanda Bazoni / Pierre ","28999744268","Rua João Sasso , 330, Sao Geraldo ","São Geraldo","Cachoeiro de Itapemirim","Restaurante",""
"Kasa da Jô ","Jô","28998858590","Rua Alípio Emílio da Costa,  6 , Paraiso ","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
"Bar do Jonas ","Jonas Barbosa Ferraz Junior ","28999665020","Rua Paulinho Martins dos Santos,  16, Paraíso ","Paraiso","Cachoeiro de Itapemirim","Restaurante",""
